Total rows: 238

monitor_id | descripcion | marca | sub_familia | grupo_comparable | ultimo_pvp | ultima_fecha
210 | Tortilla de Papas TIENDA INGLESA al Horno (1 un.) | TIENDA INGLESA | Sin Clasificar | NULL | 245 | 2026-05-19
214 | Tortilla de Verduras al Horno TIENDA INGLESA (1 un.) | TIENDA INGLESA | Sin Clasificar | NULL | 220 | 2026-05-19
256 | Banana Orgánica Ecuador (Kg) | null | Sin Clasificar | NULL | 357 | 2026-05-18
245 | Berenjena a Granel (Kg) | null | Sin Clasificar | NULL | 357 | 2026-05-18
94 | Carne Picada Súper Especial (Kg) | null | Sin Clasificar | NULL | 53.1 | 2026-05-18
263 | Lomo de Corvina Desespinado (Kg) | null | Sin Clasificar | NULL | 331 | 2026-05-18
301 | Manzana Red Deliciosa (Kg) | null | Sin Clasificar | NULL | 300 | 2026-05-18
271 | Morrón Rojo Envasado (Kg) | null | Sin Clasificar | NULL | 375 | 2026-05-18
246 | Piña Gold (Kg) | null | Sin Clasificar | NULL | 139 | 2026-05-18
302 | Tomate Americano a Granel (kg) | null | Sin Clasificar | NULL | 125 | 2026-05-18
341 | Sorrentinos AVANTI 4 Quesos 500 gr | AVANTI | Sorrentinos | 1 | 322 | 2026-05-31
349 | Sorrentinos AVANTI jamón y queso 500 g | AVANTI | Sorrentinos | 1 | 322 | 2026-05-31
346 | Sorrentinos AVANTI jamón y queso 500 g | AVANTI | Sorrentinos | 1 | 322 | 2026-05-31
342 | Sorrentinos de Ricotta y Espinaca AVANTI 500 gr | AVANTI | Sorrentinos | 1 | 322 | 2026-05-31
343 | Sorrentinos de Ricotta, Dambo y Espinaca LA ESPECIALISTA 500 gr | LA ESPECIALISTA | Sorrentinos | 1 | 350 | 2026-05-31
356 | Sorrentinos Rellenos Cuatro Quesos LA ESPECIALISTA 500 gr | LA ESPECIALISTA | Sorrentinos | 1 | 350 | 2026-05-31
339 | Sorrentinos Rellenos de Jamón y Queso LA ESPECIALISTA 500 gr | LA ESPECIALISTA | Sorrentinos | 1 | 350 | 2026-05-31
353 | Sorrentinos Muzzarella y Jamón LOS ABUELOS 24 Unidades | LOS ABUELOS | Sorrentinos | NULL | 836 | 2026-05-31
340 | Sorrentinos Muzzarella y Jamón LOS ABUELOS 24 Unidades | LOS ABUELOS | Sorrentinos | NULL | 836 | 2026-05-31
345 | Sorrentinos de Muzzarella y Jamón TIENDA INGLESA 12 unidades | TIENDA INGLESA | Sorrentinos | NULL | 561 | 2026-05-31
347 | Sorrentinos de Muzzarella y Jamón TIENDA INGLESA 12 unidades | TIENDA INGLESA | Sorrentinos | NULL | 561 | 2026-05-31
344 | Sorrentinos de Provolone y Tomate TIENDA INGLESA 250 gr | TIENDA INGLESA | Sorrentinos | 1 | 296 | 2026-05-31
355 | Sorrentinos Ricotta y Nuez TIENDA INGLESA 250 gr | TIENDA INGLESA | Sorrentinos | NULL | 296 | 2026-05-31
